"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Symbol"
"207869_s_at"	-0.0616544000000001	2.8388712	-0.735344490730585	0.478344312226553	0.736489592075306	-5.96244074461197	"NO"	"NO"	"CACNA1G"
"207876_s_at"	0.511117999999999	6.8027732	5.38429580288482	0.00026692705069826	0.0487236919962401	0.794579879879024	"NO"	"NO"	"FLNC"
"207877_s_at"	0.0510887999999969	7.8903508	0.637912420159595	0.537287972478626	0.776086362808118	-6.02984474047488	"NO"	"NO"	"NVL"
"207885_at"	-0.043478799999999	3.8327332	-0.432130555861012	0.674447088056538	0.854741889056322	-6.14267728752575	"NO"	"NO"	"S100G"
"207889_at"	0.2550674	3.6925631	2.54834486354071	0.0280993776638964	0.186608385424396	-3.60505476779373	"NO"	"NO"	"SARDH"
"207891_s_at"	0.00764120000000013	4.7580952	0.074881363826805	0.941726385691111	0.977584722278323	-6.23732836099826	"NO"	"NO"	"HSXQ28ORF"
"207895_at"	-0.1863412	4.481498	-1.81594889993666	0.0982050768552676	0.343989336091081	-4.73713976378887	"NO"	"NO"	"NAALADL1"
"207896_s_at"	-1.228228	7.3491832	-2.5506689520195	0.0279857288991961	0.186173305835322	-3.60129113962572	"NO"	"NO"	"DLEC1"
"207907_at"	0.369818400000001	5.6244106	1.74859421137481	0.109691917552629	0.361109675482992	-4.83312687083525	"NO"	"NO"	"TNFSF14"
"207911_s_at"	0.0289514000000013	5.6308425	0.260211338801676	0.79976744046939	0.916699942698838	-6.20468518318293	"NO"	"NO"	"TGM5"
"207913_at"	-0.332802799999998	10.1846424	-0.947642351448746	0.364757235856403	0.648232461688401	-5.78655252637754	"NO"	"NO"	"CYP2F1"
"207917_at"	-0.020551600000001	5.0029224	-0.235078648731021	0.818700402029139	0.924118145764208	-6.21121214788397	"NO"	"NO"	"NUDT13"
"207922_s_at"	0.145551399999999	10.2536093	1.22642975212849	0.247012594814113	0.537006172758291	-5.50098950188956	"NO"	"NO"	"MAEA"
"207930_at"	-0.2476774	4.4114087	-1.6013160204623	0.139140477722563	0.406734597996601	-5.03612147343173	"NO"	"NO"	"LCN1"
"207935_s_at"	1.0365758	7.3728859	1.87657044469156	0.0888198316248746	0.327609243018728	-4.64921915659642	"NO"	"NO"	"KRT13"
"207955_at"	0.0625419999999997	3.921717	0.567368269030283	0.582473202588025	0.802758407199893	-6.07312884875923	"NO"	"NO"	"CCL27"
"207974_s_at"	-0.168938000000001	10.6219748	-1.36405841328013	0.201268609779127	0.4845600436331	-5.33999249500557	"NO"	"NO"	"SKP1A"
"207976_at"	0.069351600000001	3.8124664	0.559920016617948	0.587361104650712	0.805595654000001	-6.07742245980634	"NO"	"NO"	"KLHL18"
"207981_s_at"	-0.0974157999999985	8.7690535	-0.362555585271978	0.724178428470748	0.880985274212948	-6.17139091393118	"NO"	"NO"	"ESRRG"
"207988_s_at"	0.201357	11.1962395	2.01303810724247	0.0706518488025874	0.291244725787824	-4.44651769998275	"NO"	"NO"	"ARPC2"
"207992_s_at"	-0.0664207999999977	9.9461746	-0.474148108711785	0.645167925235875	0.837422084959211	-6.12299172335071	"NO"	"NO"	"AMPD3"
"207995_s_at"	-0.1004536	4.2169088	-1.65714370739813	0.127235481889405	0.388337939625107	-4.96034958854164	"NO"	"NO"	"CD209L"
"208004_at"	-0.1014618	3.7553205	-1.09506105112036	0.298140287618641	0.589140057262227	-5.64273733766488	"NO"	"NO"	"PROL1"
"208006_at"	0.00226559999999942	4.119116	0.0147835428374966	0.988483939619966	0.995780457890146	-6.24017031456194	"NO"	"NO"	"FOXI1"
"208009_s_at"	0.2570104	7.6468986	2.33972837229395	0.0403800450901067	0.219912217239711	-3.93980805827403	"NO"	"NO"	"ARHGEF16"
"208018_s_at"	0.789360400000002	7.6420864	1.51263098772803	0.160076658067507	0.435189466936246	-5.15329807163573	"NO"	"NO"	"HCK"
"208021_s_at"	-0.00344620000000084	8.4166341	-0.0261742839385385	0.979612535685144	0.992669534780812	-6.23992420361177	"NO"	"NO"	"RFC1"
"208024_s_at"	-0.7620076	8.4656934	-5.53261382084353	0.000215171307355889	0.046963451701408	0.994714671193266	"NO"	"NO"	"DGCR6"
"208036_at"	0.0911924000000006	3.5672012	0.596756992295881	0.563402293364039	0.79195393533103	-6.05566979026896	"NO"	"NO"	"OPN1SW"
"208040_s_at"	-0.204865799999999	6.7971819	-2.43375240166236	0.0343037341114992	0.203650276331433	-3.78975375020678	"NO"	"NO"	"MYBPC3"
