Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619636		16167	CFTR_network_edit				PUBMED:11161218,PUBMED:10436022	REACTANT:1495967,PRODUCT:1495981	e170__e170_r						Positive influence
619637		16167	CFTR_network_edit				PUBMED:10675364,PUBMED:12209004,PUBMED:9384384	REACTANT:1496100,PRODUCT:1496242	e113__e113_r						Positive influence
619638		16167	CFTR_network_edit					REACTANT:1496087,PRODUCT:1496190	e218__e218_r						Positive influence
619639		16167	CFTR_network_edit					REACTANT:1496160,PRODUCT:1496091	e204__e204_r						Negative influence
619640		16167	CFTR_network_edit				PUBMED:21807898	REACTANT:1496125,PRODUCT:1496027	e274__e274_r						Negative influence
619641		16167	CFTR_network_edit					REACTANT:1496089,PRODUCT:1496212	e257__e257_r						Positive influence
619642		16167	CFTR_network_edit					REACTANT:1496230,PRODUCT:1496054	e256__e256_r						Positive influence
619643		16167	CFTR_network_edit				PUBMED:17244609	REACTANT:1496093,PRODUCT:1496155	e116__e116_r						Positive influence
619644		16167	CFTR_network_edit				PUBMED:9531550,PUBMED:15811383	REACTANT:1496210,PRODUCT:1496186	e222__e222_r						Positive influence
619645		16167	CFTR_network_edit					REACTANT:1496113,PRODUCT:1496275	e124__e124_r						Positive influence
619646		16167	CFTR_network_edit				PUBMED:20826815	REACTANT:1496258,PRODUCT:1496224	e82__e82_r						Positive influence
619647		16167	CFTR_network_edit				PUBMED:10675364,PUBMED:12209004,PUBMED:9384384	REACTANT:1496079,PRODUCT:1496153	e172__e172_r						Positive influence
619648		16167	CFTR_network_edit				PUBMED:9147660,PUBMED:8062388,PUBMED:7309796,PUBMED:9417117,PUBMED:27182737	REACTANT:1496028,PRODUCT:1496175	e27__e27_r						Positive influence
619649		16167	CFTR_network_edit				PUBMED:11889126,PUBMED:10613908,PUBMED:16415883	REACTANT:1496107,PRODUCT:1495968	e168__e168_r						Positive influence
