Symbol	pathway_name
421	GREM1	TGF-beta signaling pathway
422	BMP2	TGF-beta signaling pathway
423	INHBB	TGF-beta signaling pathway
424	BMPR1A	TGF-beta signaling pathway
425	NEO1	TGF-beta signaling pathway
426	RGMB	TGF-beta signaling pathway
427	IFNG	TGF-beta signaling pathway
428	TNF	TGF-beta signaling pathway
429	MAPK1	TGF-beta signaling pathway
430	TGFBR1	TGF-beta signaling pathway
431	ACVR1	TGF-beta signaling pathway
432	ACVR1C	TGF-beta signaling pathway
433	PPP2CA	TGF-beta signaling pathway
434	AMHR2	TGF-beta signaling pathway
435	ACVR2A	TGF-beta signaling pathway
436	SMAD4	TGF-beta signaling pathway
437	CDKN2B	TGF-beta signaling pathway
438	ROCK1	TGF-beta signaling pathway
439	HJV	TGF-beta signaling pathway
440	BMPR2	TGF-beta signaling pathway
441	RPS6KB1	TGF-beta signaling pathway
442	CRB1	Hippo signaling pathway
443	CDH1	Hippo signaling pathway
444	PARD3	Hippo signaling pathway
445	ASIP	Hippo signaling pathway
446	PARD6A	Hippo signaling pathway
447	PATJ	Hippo signaling pathway
448	PALS1	Hippo signaling pathway
449	AMOT	Hippo signaling pathway
450	PPP2CA	Hippo signaling pathway
451	LATS2	Hippo signaling pathway
452	STK3	Hippo signaling pathway
453	YAP1	Hippo signaling pathway
454	TGFB1	Hippo signaling pathway
455	GDF7	Hippo signaling pathway
456	FZD10	Hippo signaling pathway
457	TGFBR1	Hippo signaling pathway
458	SMAD2	Hippo signaling pathway
459	CTNNB1	Hippo signaling pathway
460	CTNNA1	Hippo signaling pathway
461	YWHAQ	Hippo signaling pathway
462	RASSF6	Hippo signaling pathway
463	RASSF1	Hippo signaling pathway
464	ACTB	Hippo signaling pathway
465	SMAD1	Hippo signaling pathway
466	BMPR1A	Hippo signaling pathway
467	FBXW11	Hippo signaling pathway
468	PRKCI	Hippo signaling pathway
469	MOB1A	Hippo signaling pathway
470	AREG	Hippo signaling pathway
471	AR	Hippo signaling pathway
472	BIRC5	Hippo signaling pathway
473	AFP	Hippo signaling pathway
474	ITGB2	Hippo signaling pathway
475	FGF1	Hippo signaling pathway
476	DVL1	Hippo signaling pathway
477	LEF1	Hippo signaling pathway
478	SMAD4	Hippo signaling pathway
479	RASSF1	Hippo signaling pathway - multiple species
480	RASSF6	Hippo signaling pathway - multiple species
481	RASSF4	Hippo signaling pathway - multiple species
482	STK3	Hippo signaling pathway - multiple species
483	LATS2	Hippo signaling pathway - multiple species
484	YAP1	Hippo signaling pathway - multiple species
485	PAK1	Hippo signaling pathway - multiple species
486	MOB1A	Hippo signaling pathway - multiple species
487	TEAD1	Hippo signaling pathway - multiple species
488	PLCG1	VEGF signaling pathway
489	PIK3CA	VEGF signaling pathway
490	VEGFA	VEGF signaling pathway
491	KDR	VEGF signaling pathway
492	SRC	VEGF signaling pathway
493	PRKCA	VEGF signaling pathway
494	HRAS	VEGF signaling pathway
495	KRAS	VEGF signaling pathway
496	MAPK1	VEGF signaling pathway
497	CDC42	VEGF signaling pathway
498	SPHK2	VEGF signaling pathway
499	RAF1	VEGF signaling pathway
500	MAP2K1	VEGF signaling pathway
501	MAPK14	VEGF signaling pathway
502	MAPKAPK3	VEGF signaling pathway
503	AKT3	VEGF signaling pathway
504	PPP3CA	VEGF signaling pathway
505	CCN1	VEGF signaling pathway
506	NFATC2	VEGF signaling pathway
507	PLA2G4B	VEGF signaling pathway
508	NOS3	VEGF signaling pathway
509	RAC1	VEGF signaling pathway
510	SH2D2A	VEGF signaling pathway
511	SCAP	VEGF signaling pathway
512	SHC2	VEGF signaling pathway
513	PTK2	VEGF signaling pathway
514	PXN	VEGF signaling pathway
515	HSPB1	VEGF signaling pathway
516	CASP9	VEGF signaling pathway
517	BAD	VEGF signaling pathway
518	PTGS2	VEGF signaling pathway
519	PRKCE	Apelin signaling pathway
520	RRAS2	Apelin signaling pathway
521	CALML6	Apelin signaling pathway
522	RPS6KB1	Apelin signaling pathway
523	GNB5	Apelin signaling pathway
524	APELA	Apelin signaling pathway
525	TGFBR1	Apelin signaling pathway
526	BECN2	Apelin signaling pathway
527	PRKACA	Apelin signaling pathway
528	RAF1	Apelin signaling pathway
529	MYLK4	Apelin signaling pathway
530	MAP2K1	Apelin signaling pathway
531	MAPK1	Apelin signaling pathway
532	MTOR	Apelin signaling pathway
533	PIK3R6	Apelin signaling pathway
534	AKT3	Apelin signaling pathway
535	SERPINE1	Apelin signaling pathway
536	CAMK4	Apelin signaling pathway
537	APLNR	Apelin signaling pathway
538	SMAD2	Apelin signaling pathway
539	PIK3R4	Apelin signaling pathway
540	JAG1	Apelin signaling pathway
541	EGR1	Apelin signaling pathway
542	ZNF225	Apelin signaling pathway
543	PRKAG2	Apelin signaling pathway
544	PPARGC1A	Apelin signaling pathway
545	KLF2	Apelin signaling pathway
546	HDAC5	Apelin signaling pathway
547	MEF2B	Apelin signaling pathway
548	GNA13	Apelin signaling pathway
549	AGTR1	Apelin signaling pathway
550	SLC9A1	Apelin signaling pathway
551	NOS1	Apelin signaling pathway
552	RPS6	Apelin signaling pathway
553	PLCB1	Apelin signaling pathway
554	MAP1LC3C	Apelin signaling pathway
555	LIPE	Apelin signaling pathway
556	MYL2	Apelin signaling pathway
557	PDE3B	Apelin signaling pathway
558	ADCY1	Apelin signaling pathway
559	PLAT	Apelin signaling pathway
560	SMAD4	Apelin signaling pathway
561	NOTCH3	Apelin signaling pathway
562	SPP1	Apelin signaling pathway
563	PLIN1	Apelin signaling pathway
564	UCP1	Apelin signaling pathway
565	NRF1	Apelin signaling pathway
566	TFAM	Apelin signaling pathway
567	SPHK2	Apelin signaling pathway
568	IL24	JAK-STAT signaling pathway
569	CNTF	JAK-STAT signaling pathway
570	SOS1	JAK-STAT signaling pathway
571	HGF	JAK-STAT signaling pathway
572	HRAS	JAK-STAT signaling pathway
573	JAK1	JAK-STAT signaling pathway
574	PIK3CA	JAK-STAT signaling pathway
575	AKT3	JAK-STAT signaling pathway
576	IL22RA2	JAK-STAT signaling pathway
577	PTPN2	JAK-STAT signaling pathway
578	PTPN6	JAK-STAT signaling pathway
579	CISH	JAK-STAT signaling pathway
580	SOCS4	JAK-STAT signaling pathway
581	STAM2	JAK-STAT signaling pathway
582	EGF	JAK-STAT signaling pathway
583	RAF1	JAK-STAT signaling pathway
584	STAT1	JAK-STAT signaling pathway
585	PTPN11	JAK-STAT signaling pathway
586	MTOR	JAK-STAT signaling pathway
587	LAT	NF-kappa B signaling pathway
588	IL1B	NF-kappa B signaling pathway
589	TNF	NF-kappa B signaling pathway
590	DDX58	NF-kappa B signaling pathway
591	CD14	NF-kappa B signaling pathway
592	CD40LG	NF-kappa B signaling pathway
593	TNFSF11	NF-kappa B signaling pathway
